ref,type,datasource,content,source,alt
1,titel,,Lage der Bezirksregion ,,
1,text,,Die Bezirksregion Hellersdorf-Süd (100206) ist mit einer Fläche von 242 ha eine der flächenkleinen Regionen.,,
1,text,,"Sie besteht aus vier Planungsräumen: 
- Kaulsdorf Nord II (10020620) 
- Gelbes Viertel (10020621) 
- Kaulsdorf Nord I (10020622) 
- Rotes Viertel (10020623)

",,
1,text,,Hellersdorf-Süd wird im Norden durch den Jelena-Santic-Friedenpark – Teil des IGAGeländes 2017 – der in das Wuhletal übergeht und die Bezirksregion westlich begrenzt. Östlich und südlich schließt die Bezirksregion Kaulsdorf an. ,,
1,titel,,Städtebauliche Strukturen,,
1,text,,Die Bezirksregion ist Teil der Anfang der 1980er Jahre entstandenen Großsiedlung Hellersdorf. 
Entsprechend ist die städtebauliche Struktur durch industriellen Wohnungsbau geprägt. Es dominieren 5- bis 6-geschossige Wohngebäude, die teilweise ergänzt werden durch 9- bis 11- geschossige industrielle Typenbauten sowie vereinzelt 12-geschossige Punkthochhäuser. 
Charakteristisch für die Bezirksregion ist die Wuhle und der angrenzende WuhletalGrünzug im westlichen Bereich. Mitten durch die Bezirksregion führt der Grünraum "Hellersdorfer Graben", in dem die U-Bahntrasse verläuft, und der die westlichen und östlichen Planungsräume der Region voneinander trennt. 
Die Bezirksregion wird vorrangig durch das Nahversorgungszentrum Neue Grottkauer Straße und das Spree-Center Hellersdorf versorgt, hinzu kommen mehrere Angebote in Streulagen. 
Ein Infrastrukturband mit Hallenbad, Spiel- und Naherholungsflächen führt vom Spree-Center zum Wuhletal. 
Hellersdorf-Süd ist durch die S- Bahn (S 5) und die U-Bahn (U 5) sowie mehrere BusLinien gut an den öffentlichen Nahverkehr angeschlossen. Tramverbindungen bestehen nicht.,,
1,image,hellersdorfsued_abb2.png,Hellersdorf-Süd wird im Norden durch den Jelena-Santic-Friedenpark – Teil des IGAGeländes 2017 – der in das Wuhletal übergeht und die Bezirksregion westlich begrenzt. Östlich und südlich schließt die Bezirksregion Kaulsdorf an. ,"Weeber+Partner, Sozialraumorientierung Marzahn-Hellersdorf, Bezirksregionenprofile 2018, Teil 1, Luftbild der Bezirksregion, Kartengrundlage: Geoportal Berlin / Digitale farbige Orthophotos 2019 und Amt für Statistik Berlin-Brandenburg, Grenzen der Lebensweltlich orientierten Räume (LOR), 2016.",Luftbild mit eingezeichneten Planungsräumen
2,titel,,Einwohnerentwicklung,,
2,table,2_Tabelle_Bev,"Bevölkerung 2017 und Bevölkerungsentwicklung 2012 bis 2017 in den Planungsräumen im Vergleich zur Bezirksregion, zum Bezirk und zu Berlin ","Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,text,,"Mit rund 24.800 Einwohner/innen lebten in dieser Bezirksregion zum Jahresende 2017 rund 9 % der Bevölkerung des Bezirkes Marzahn-Hellersdorf.  
Bevölkerungsreichster Planungsraum in der Region ist Kaulsdorf Nord I mit einem Anteil von 35 %, wogegen Kaulsdorf Nord II mit rund 14 % den geringsten Anteil an der Gesamtbevölkerung in der Bezirksregion hat. 
Insgesamt gab es in Hellersdorf-Süd zwischen 2012 und 2017 nur einen leichten Bevölkerungszuwachs, der unter dem bezirklichen Zuwachs von fast 6 % lag.",,
2,map-pr,2_Map_Pr_Bev,Bevölkerungsentwicklung 2012 bis 2017 in den Planungsräumen ,"Daten: Amt für Statistik Berlin, Stand 31.12.2017 und Vorjahre. ",Grafik zur Bevölkerung in Planungsräumen 2017
