ref,type,datasource,content,source,alt
1,titel,,Lage der Bezirksregion ,,
1,text,,Marzahn-Süd (BZR 100103) ist mit einer Fläche von 903 ha die größte der drei Bezirksregionen der Großsiedlung Marzahn.,,
1,text,,"Die Bezirksregion besteht aus vier Planungsräumen:
- Marzahner Chaussee (10010308),
- Springpfuhl (10010309),
- Alt-Marzahn (10010310),
- Landsberger Tor (10010311).

Begrenzt wird die Bezirksregion im Norden durch die Landsberger Allee, im Süden durch das Siedlungsgebiet Biesdorf, im Osten durch den Wuhle-Landschaftsraum und im Westen durch die Rhinstraße und den Bezirk Lichtenberg.",,
1,titel,,Städtebauliche Strukturen,,
1,text,,"Der Grundstein für die Großsiedlung Marzahn wurde 1977 im Planungsraum Springpfuhl gelegt. Die Baustruktur der Bezirksregion ist geprägt von 5- bis 11-geschossigen Wohngebäuden, ergänzt durch 18- bis 21-geschossige Punkthochhäuser, entlang der Allee der Kosmonauten und der Poelchaustraße.
Städtebaulich besonders markant ist die Bebauung am Helene-Weigel-Platz mit den drei 24- bzw. 26-geschossigen Hochhäusern sowie dem inzwischen denkmalgeschützten Rathaus Marzahn.
Für die Bezirksregion charakteristisch ist der erhaltene Dorfkern Alt-Marzahn mit historischem Anger und Kirche sowie der Bockwindmühle als Landmarke inmitten der Großsiedlung. Südlich anschließend an den Dorfkern befinden sich im Planungsraum Alt-Marzahn größere zusammenhängende Ein- und Zweifamilienhausgebiete. Auch der Planungsraum Marzahner Chaussee besteht nahezu ausschließlich aus diesen Kleinhausgebieten.
Im Planungsraum Landsberger Tor entstand in den 1990er Jahren das gleichnamige Wohnquartier mit 5- bis 6-geschossigen Wohngebäuden. Typisch für die Baustruktur der Großsiedlung ist, dass wichtige Infrastrukturen, wie Kitas und Schulen, wohnnah vorhanden sind.
Es gibt zwei größere Nahversorgungs- und Dienstleistungszentren, die durch Angebote in Streulagen ergänzt werden. Hinzu kommt ein großes Fachmarktzentrum an der Märkischen Spitze.
Nicht nur für den Bezirk, sondern überregional von Bedeutung, sind die ""Gärten der Welt"" auf einer 21 ha großen Fläche im Planungsraum Landsberger Tor, wo 2017 die Internationale Gartenausstellung stattfand.
Ebenso bedeutsam sind die Gewerbegebiete westlich der S-Bahn, die einen Großteil des Planungsraums Marzahner Chaussee ausmachen und bis an die Bezirksgrenze zu Lichtenberg heranreichen. Hierzu gehört auch das weithin sichtbare Bürohochhaus ""Pyramide Marzahn"".

Die verkehrliche Erschließung erfolgt über die Märkische Allee (Bundesstraße 158), die Landsberger Allee, die Rhinstraße sowie die Allee der Kosmonauten. In der Bezirksregion liegen zwei S-Bahnhöfe (Springpfuhl und Poelchaustraße), wobei der S-Bahnhof Springpfuhl durch zwei Linien (S7 und S75) erschlossen ist, bevor die S 75 nach Hohenschönhausen abzweigt und die S7 bis nach Ahrensfelde führt, an der Schnittstelle zu Lichtenberg liegt der S-Bahnhof Friedrichsfelde-Ost. Mit den Tramlinien 18 und 8 sowie mehreren Buslinien gibt es weitere gute ÖPNV-Anschlüsse.",,
1,image,marzahnsued_abb1.png,,"Weeber+Partner, Sozialraumorientierung Marzahn-Hellersdorf, Bezirksregionenprofile 2018, Teil 1, Luftbild der Bezirksregion, Kartengrundlage: Geoportal Berlin / Digitale farbige Orthophotos 2019 und Amt für Statistik Berlin-Brandenburg, Grenzen der Lebensweltlich orientierten Räume (LOR), 2016.",Luftbild mit eingezeichneten Planungsräumen
2,titel,,Einwohnerentwicklung,,
2,table,2_Tabelle_1,"Bevölkerung 2017 und Bevölkerungsentwicklung 2012 bis 2017 in den Planungsräumen im Vergleich zur Bezirksregion, zum Bezirk und zu Berlin ","Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",
2,text,,"2017 hatte die Bezirksregion über 38.000 Einwohner/innen, das entspricht einem Anteil von 14 % an der Gesamtbevölkerung des Bezirks Marzahn-Hellersdorf.
Die vier Planungsräume der Bezirksregion weisen starke Unterschiede hinsichtlich ihrer Einwohnerzahlen auf. In Alt-Marzahn lebt mit mehr als 18.000 Einwohner/in-nen fast die Hälfte (48 %) der Gesamtbevölkerung der Bezirksregion. Mit einem Anteil von 38 % an der Gesamtbevölkerung folgt der Planungsraum Springpfuhl.",,
2,map-pr,2_Map_Pr_1,Bevölkerungsentwicklung 2012 bis 2017 in den Planungsräumen ,"Daten: Amt für Statistik Berlin, Stand 31.12.2017 und Vorjahre. ",Grafik zur Bevölkerung in Planungsräumen 2017
2,text,,"Seit 2012 gab es in Marzahn-Süd einen Bevölkerungszuwachs von rund 5 %, der lag etwas unter dem des gesamten Bezirks und unter dem Wert von Berlin.
Den anteilig höchsten Zuwachs (mehr als ein Drittel der Bevölkerung von 2012) hatte der Planungsraum Marzahner Chaussee gefolgt vom Landsberger Tor. Relativ konstant blieb die Einwohnerzahl im Planungsraum Springpfuhl. Alt-Marzahn gewann mit 974 absolut die meisten Einwohner/innen hinzu.",,
2,table,2_Tabelle_2,"Durchschnittsalter 2017 in den Planungsräumen im Vergleich zur Bezirksregion, zum Bezirk und zu Berlin sowie seine Veränderungen 2012 bis 2017 ","Daten: Amt für Statistik Berlin, Stand 31.12.2017 sowie Demografieberichte Marzahn-Hellersdorf 2011 und 2016. Die Demografieberichte des Bezirkes enthalten hier Werte für 2011.",
2,map-pr,2_Map_Pr_2,Durchschnittsalter der Bevölkerung 2017 in den Planungsräumen ,"Daten: Amt für Statistik Berlin, Stand 31.12.2017. ",Grafik zum Durchschnittsalter in Planungsräumen 2017
2,text,,"Mit einem Durchschnittsalter von fast 47 Jahren zählt die Bezirksregion eher zu den ""älteren"", auch im Vergleich mit dem Bezirk insgesamt und Berlin.
Auffällig sind die räumlichen Differenzierungen. So haben die Planungsräume Springpfuhl und Landsberger Tor die älteste Bevölkerung der Bezirksregion. Der Planungsraum Springpfuhl gehört zu den zuerst erbauten Bereichen der Großsiedlung Marzahn und viele der Erstbezieher/innen leben dort heute noch.
Wesentliche Veränderungen beim Durchschnittsalter bezogen auf die letzten fünf Jahre gibt es nicht. Auch der Vergleich zu 2016 zeigt nur eine geringfügige Veränderung, dabei ist das Durchschnittsalter allerdings geringfügig gesunken.
Auf Planungsraumebene fällt allerdings die starke Verjüngung im Planungsraum Marzahner Chaussee auf, was mit dem dortigen Einwohnerzuwachs und einem Generationenumbruch in den Einfamilienhausgebieten korreliert.",,
2,barchart,2_Barchart_1,"Übersicht über die Altersstruktur der Bevölkerung 2017 in den Planungsräumen im Vergleich zur Bezirksregion, zum Bezirk und zu Berlin ",,
2,barchart,2_Barchart_2,," Weeber+Partner, Sozialraumorientierung Marzahn-Hellersdorf, Bezirksregionenprofile 2018, Teil 1, eigene Darstellung; Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
3,titel,,Gesamtindex,,
