LOR-ID,Name,Anschrift,PLZ / Ort,Träger,Kapazität
07070701,Ev.Teilzeit-Kita im Rackebüller Weg,Rackebüller Weg 64,12305 Berlin,Ev. Kirchengemeinde Lichtenrade,21
07070701,Kita Abenteuerland,Lichtenrader Damm 190,12305 Berlin,Jugend- und Sozialwerk gGmbH,120
07070701,EKT - Lichtenrader Dreckspatzen,Lintruper Str. 57,12305 Berlin,Lichtenrader Dreckspatzen e.V.,34
07070701,Kita Mary Poppinz,Mariendorfer Damm 444,12107 Berlin,Mary Poppinz gemeinnützige Unternehmergesellschaft ,31
07070702,BOOT-Kita Traumburg,Weilburgstr. 11,12309 Berlin,Gemeinnützige BOOT GmbH,170
07070702,Kita Griembergweg,Griembergweg 29,12305 Berlin,Griembergweg e.V.,190
07070702,Kindergarten Muna,Homburgstr. 17,12309 Berlin,IKT Stadtindianer e.V.,21
07070702,Kids-R-Kids Kita,Töpchiner Weg 127- 129,12309 Berlin,Kids-R-Kids gUG (haftungsbeschränkt),95
07070702,Kita Sonnenblume,Schwebelstr. 22,12309 Berlin,Kita Sonnenblume gGmbH,220
07070702,Schlösschen Süd,Alt-Lichtenrade 29,12309 Berlin,LifExperience gemeinnützige G. für Bildung Erziehung und Betreuung mbH,24
07070702,Waldorfkindergarten Goldwurzel,Zeißpfad 25,12309 Berlin,Waldorfkindergarten Goldwurzel Tempelhof e.V.,32
07070703,Die Kindergärtnerei,Briesingstr. 30,12307 Berlin,Die Kindergärtnerei Kinderhaus Briesingstraße e. V.,25
07070703,EKT Mini-Kids-Salvator,Pfarrer-Lütkehaus-Pl. 1,12307 Berlin,EKT Mini-Kids-Salvator e.V.,24
07070703,Kita Hauptstadtzwerge,Nuthestr. 18,12307 Berlin,Hauptstadtzwerge gGmbH,85
07070703,Kita Finchleystraße,Finchleystr. 6,12305 Berlin,INA.KINDER.GARTEN gGmbH,40
07070704,Cheburashka-Tempelhof,Nahariyastr. 40,12309 Berlin,Cheburashka gGmbH,24
07070704,Kita der Ev. Kirchengem. Lichtenrade,Alt-Lichtenrade 107,12309 Berlin,Ev. Kirchengemeinde Lichtenrade,89
07070704,Kita Feuerwache,Alt-Lichtenrade 97,12309 Berlin,Jugend- und Sozialwerk gGmbH,72
07070704,Kita Nahariyastr. 21 / Kitas Süd-West,Nahariyastr. 21,12309 Berlin,Kindertagesstätten Berlin Süd-West,187
07070704,EKT - Kita-Verein Lichtenrade Ost - Groß-Ziethener-Str. 96,Groß-Ziethener Str. 96,12309 Berlin,Kindertagesstättenverein Lichtenrade-Ost e. V.,24
07070704,Groß-Ziethener-Str. 82,Groß-Ziethener Str. 82,12309 Berlin,Kindertagesstättenverein Lichtenrade-Ost e. V.,28
07070704,EKT - Nahariyastr. 45,Nahariyastr. 45,12309 Berlin,Kindertagesstättenverein Lichtenrade-Ost e. V.,30
07070704,EKT - Pillepoppen,Alt-Lichtenrade 100,12309 Berlin,Pillepoppen e. V.,53
07070705,Kita Haus Salem/Kitas Süd-West,Hohenzollernstr. 15,12307 Berlin,Kindertagesstätten Berlin Süd-West,116
07070705,Kita Blohmstraße,Blohmstr. 37,12307 Berlin,Nachbarschafts- u. Selbsthilfezentrum in der UFA-Fabrik e.V.,78
07070706,Ev. Teilzeit-Kita Goltzstraße,Goltzstr. 33,12307 Berlin,Ev. Kirchengemeinde Lichtenrade,28
07070706,Kinderladen Zwergenkiste,Spirdingseestr. 003,12307 Berlin,Kinderladen Zwergenkiste e. V.,20
07070707,Hisa Kita Kirchhainer Damm,Kirchhainer Damm 11,12307 Berlin,hisa gemeinnützige Gesellschaft mit beschränkter Haftung (hisa gGmbH),57
