LOR-ID,Name,Anschrift,PLZ / Ort,SuS
07070701,Annedore-Leber-Grundschule,Halker Zeile 137-149,12305 Berlin,393
07070701,Bruno-H.-Bürgel-Grundschule,Rackebüller Weg 70,12305 Berlin,463
07070701,Carl-Zeiss-Oberschule (ISS),Barnetstr. 12-14,12305 Berlin,1032
07070701,Theodor-Haubach-Schule (ISS),Grimmstr. 9-11,12305 Berlin,438
07070702,Grundschule am Dielingsgrund,Dielingsgrund 35,12305 Berlin,485
07070702,Grundschule im Taunusviertel,Wiesbadener Str. 20,12309 Berlin,302
07070703,Georg-Büchner-Gymnasium,Lichtenrader Damm 224,12305 Berlin,537
07070703,Käthe-Kollwitz-Grundschule,Mellener Str. 38-42,12307 Berlin,562
07070703,Ulrich-von-Hutten-Gymnasium,Rehagener Str. 35-37,12307 Berlin,808
07070704,Nahariya-Grundschule,Nahariyastr. 13-17,12309 Berlin,511
