LOR-ID,Name,Anschrift,PLZ / Ort,Träger,Kapazität,,,,
07070701,Kinder- und Jugendclub Barnetstraße G-Haus,Barnetstraße 11,12305 Berlin,BA Tempelhof-Schöneberg,159,,,,
07070703,Jugend-Musik-Keller Lichtenrade,Barnettstra0e 11,12305 Berlin,Nachbarschafts- und Selbsthilfe Zentrum (NUSZ) in der ufafabrik,50,,,,
07070704,Jugendcafe am Dorfteich,Alt-Lichtenrade 103,12309 Berlin,BA Tempelhof-Schöneberg,70,,,,
07070704,Kinder- und Jugendhaus Nahariyastraße,Nahariyastraße 19,12309 Berlin,Evangelische Kirchengemeinde Berlin Lichtenrade,111,,,,
07070705,Lortzingclub,Lortzingstr. 16,12307 Berlin,AHB Berlin Leipzig gGmbH,78,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,  
