LOR-ID,Name,Anschrift,PLZ / Ort,Art 1,Art 2,Art 3,Art 4,Art 5,Art 6
'07070701,Bruno-H.-Bürgel-Grundschule,Rackebüller Weg 70,12305 Berlin,Halle <=10x12m bis <15x27m,Kleinspielfeld <5000m²,LAEA (Laufbahn / Springen),Sonstige Kernsportanlagen,,Gymnastikwiese
'07070701,Annedore-Leber-Grundschule,Halker Zeile 147,12305 Berlin,Halle >=10x12m bis <15x27m,,,,,
'07070701,Theodor-Haubach-Schule,Grimmstr. 9/11,12305 Berlin,Halle >=10x12m bis <15x27m,,,,,
'07070701,Sportplatz Lichtenrade,Halker Zeile 151,12305 Berlin,Jugend- und Mehrzweckraum,400m-Rundlaufbahn,Großspielfeld (2x),LAEA (Laufbahn),,
'07070701,Carl-Zeiss-Oberschule,Barnetstr. 12-14,12305 Berlin,Halle >=15x27m bis <22x44m (2x),Sonstige Kernsportanlagen,,,,
'07070702,Grundschule im Taunusviertel,Wiesbadener Str. 20,12309 Berlin,Hallo >=22x44m bis <27x45m,Kleinspielfeld <5000m²,Gymnastikwiese,LAEA (Laufbahn / Springen),,
'07070702,Grundschule am Dielingsgrund,Dielingsgrund 35,12305 Berlin,Halle >=15x27m bis <22x44m,Kleinspielfeld <5000m²,LAEA (Laufbahn / Springen),,,
'07070703,R.-Meyerhof-Schulsportanlage des U.-v.-Hutten-Gymnasiums,Briesingstr. 23,12307 Berlin,Halle >=27x45m,Kleinspielfeld <5000m²,LAEA (Laufbahn / Springen / Kugelst.),Sonstige Kernsportanlagen,,
'07070703,Käthe-Kollwitz-Grundschule,Mellener Str. 38-42,12307 Berlin,Halle >=10x12m bis <15x27m (2x),,,,,
'07070703,Georg-Büchner-Gymnasium,Lichtenrader Damm 224,12305 Berlin,Halle >=15x27m bis <22x44m,Konditions- und Kraftraum,400m-Rundlaufbahn,Großspielfeld,LAEA (Laufbahn / Springen) (2x),
'07070704,Nahariya-Grundschule ,Nahariyastr. 13-17,12307 Berlin,Halle >=15x27m bis <22x44m,Gymnastikwiese,Kleinspielfeld<5000m²,LAEA (Laufbahn (2x) / Springen),Sonstige Kernsportanlagen,
'07070705,TC Berlin-Lichtenrade Weiß-Gelb e.V.,Franziusweg 114-118,12307 Berlin,Konditions- und Kraftraum,Jugend- und Mehrzweckraum,Tennishalle / Tennisanlage (3x),,,
'07070705,Tennisanlage Hohenzollernstr.,Hohenzollernstr. 18,12307 Berlin,Jugend- und Mehrzweckraum,Tennisanlage (2x),,,,
