LOR-ID,Name,Fläche in m²,VAG
07070701,Lessingplatz - Grünfläche ,4922,wohnortnah
07070701,Neanderstr. / Geibelstr. ,7011,wohnortnah
07070701,Wiesengrund (Promenade) ,848,wohnortnah
07070702,Alt-Lichtenrade 73abc - Hinterland ,4000,wohnortnah
07070703,Lichtenrader Graben West - Grünanlage ,5388,wohnortnah
07070703,John-Locke-Str. - Grünanlage ,3322,wohnortnah
07070703,Gebertgraben ,1329,wohnortnah
07070703,Neue Heimat Promenade ,2289,wohnortnah
07070703,Steinplatz (Steinstr.) ,1422,wohnortnah
07070703,Finchleystr. (am Altenheim) ,1852,wohnortnah
07070704,Im Domstift (Grünanlage) ,1278,wohnortnah
07070704,Alt-Lichtenrade Dorfteich - Grünanlage ,7414,wohnortnah
07070704,Lichtenrader Graben Ost ,10770,wohnortnah
07070704,Volkspark Lichtenrade (nicht gewidmet) ,45239,wohnortnah
07070704,Carl-Steffeck-Str. (Grünzug) ,1924,wohnortnah
07070705,Prinzessinnenstr. (am Bahnhof) ,1497,wohnortnah
07070705,Lortzingplatz - Grünanlage ,4224,wohnortnah
07070705,Hermione-von-Preuschen-Platz ,3246,wohnortnah
07070706,Lützowstr. 25-29 ,4437,wohnortnah
07070706,Kaiserplatz - Grünanlage ,2791,wohnortnah
07070706,Leopoldplatz ,5336,wohnortnah
