LOR-ID,Name,Bemerkung,Widmung
07070701,Ekensunder Platz - Spielplatz,"Bolzplatz, Streetball etc.",gewidmet
'07070701,Lessingplatz - Spielplatz,-,gewidmet
'07070701,Lessingplatz - Bolzplatz,Bolzplatz,gewidmet
'07070701,"Feldstedter Weg 30,32 / Schillerstr.67",Strandgut,gewidmet
'07070702,Küstriner Str.,"Bolzplatz, BMX etc.",gewidmet
'07070702,Taunusstr.73,"an der Weilburgstraße, Das Schloss",gewidmet
'07070702,Lichtenrader Damm 201,-,gewidmet
'07070703,Finchleystr. / Lichtenrader Graben West,Skateboardfläche,gewidmet
'07070703,Lichtenrader Graben West - Spielplatz,John-Locke-Str. ggü. 42,gewidmet
'07070705,Illigstraße / Grenzweg,Bolzplatz etc.,gewidmet
'07070705,Lortzingplatz - Spielplatz,-,gewidmet
'07070705,Franziusweg 4,-,gewidmet
'07070705,Erich-Hermann-Platz,"Das Wünsdorf, Wünsdorfer Str. - Bolzplatz",gewidmet
'07070706,Kaiserplatz - Spielplatz,-,gewidmet
'07070706,Spirdingseestr. 1,-,gewidmet
'07070707,Pechsteinstr. - Verlängerung,"Stadtgut, BMX",gewidmet
'07070707,Augsburger Platz - Spielplatz,Streetball etc.,gewidmet
